Type,Name,Style,Version,Wave,Default,Infill,Bed,PrintTime,Filament,Material
Leg,Leg,Standard - Short,1,1.5,Frame,10,Brim,1:01,12,PLA
Leg,Leg,Stronghold,1,2,Frame,,,,,PLA
Leg,Leg,Tavern,1,2,Frame,,,,,PLA
Playtile,Component Corner,,1,1,,10,Skirt,9:59,119,PLA
Playtile,Component,,1,1,,10,Skirt,6:38,79,PLA
Playtile,Component,Keep,1,3,,,,,,PLA
Playtile,Component,Stronghold,1,3,,,,,,PLA
Playtile,Component,Tavern,1,3,,,,,,PLA
Playtile,Corner,1x1,1,1,4,10,Skirt,9:15,114,PLA
Playtile,Corner,2x2,1,1,4,10,Skirt,8:37,109,PLA
Playtile,Corner,4x4,1,1,4,10,Skirt,8:20,106,PLA
Playtile,Corner,Blank,1,1,4,10,Skirt,7:59,105,PLA
Playtile,Corner,Stronghold,1,3,4,,,,,PLA
Playtile,Corner,Tavern,1,3,4,,,,,PLA
Playtile,Counter Wheel,,1,3,,,,,,PLA
Playtile,Dice Tray,,1,1,,10,Skirt,8:28,104,PLA
Playtile,Full,1x1,1,1,Tile,10,Skirt,12:09,151,PLA
Playtile,Full,2x2,1,1,Tile,10,Skirt,11:19,144,PLA
Playtile,Full,4x4,1,1,Tile,10,Skirt,10:57,140,PLA
Playtile,Full,Blank,1,1,Tile,10,Skirt,10:26,138,PLA
Playtile,Full,Stronghold,1,3,Tile,,,,,PLA
Playtile,Full,Tavern,1,3,Tile,,,,,PLA
Playtile,Half,1x1,1,1,TileHalf,10,Skirt,6:12,76,PLA
Playtile,Half,2x2,1,1,TileHalf,10,Skirt,5:47,73,PLA
Playtile,Half,4x4,1,1,TileHalf,10,Skirt,5:35,71,PLA
Playtile,Half,Blank,1,1,TileHalf,10,Skirt,5:23,70,PLA
Playtile,Half,Stronghold,1,3,TileHalf,,,,,PLA
Playtile,Half,Tavern,1,3,TileHalf,,,,,PLA
Playtile,Mixed Card,,1,3,,,,,,PLA
Playtile,Mountable,Elite,1,3,,,,,,PLA
Playtile,Mountable,Lite,1,3,,,,,,PLA
Playtile,Mountable,Standard,1,3,,,,,,PLA
Playtile,Quarter,1x1,1,1,,10,Skirt,3:11,38,PLA
Playtile,Quarter,2x2,1,1,,10,Skirt,2:58,37,PLA
Playtile,Quarter,Blank,1,1,,10,Skirt,2:48,36,PLA
Playtile,Quarter,Stronghold,1,3,,,,,,PLA
Playtile,Quarter,Tavern,1,3,,,,,,PLA
Playtile,Triple Component,,1,1,,10,Skirt,8:39,109,PLA
Rail,Anti Corner Base,Elite,1,3,,,,,,PLA
Rail,Anti Corner Top,Elite,1,3,,,,,,TPU
Rail,Card Top,Elite,1,1.5,,,,,,TPU
Rail,Card Top,Elite,2,2,,,,,,TPU
Rail,Card,Standard,1,1,,10,Skirt,9:13,116,PLA
Rail,Card,Standard,2,3,,,,,,PLA
Rail,Clip,Elite,1,1,Rail,15,Skirt,0:51,10,TPU
Rail,Clip,Standard,1,1,Rail,15,Skirt,0:48,10,PLA
Rail,Component Top,Elite,1,1.5,,,,,,TPU
Rail,Corner Base,Elite,1,1,4,15,Skirt,5:39,68,PLA
Rail,Corner Top,Elite,1,1,4,10,Skirt,12:22,77,TPU
Rail,Corner,Lite,1,1.5,4,10,Skirt,2:39,32,PLA
Rail,Corner,SciFi,1,2,4,,,,,PLA
Rail,Corner,Standard,1,1,4,10,Skirt,8:01,107,PLA
Rail,Corner,Stronghold,1,2,4,,,,,PLA
Rail,Corner,Tavern,1,2,4,,,,,PLA
Leg,Joint - Rail Lock,Lite - Short,1,1.5,Tile,15,Skirt,0:39,6,PLA
Rail,Rail Lock,Lite,1,1.5,LiteRailLock,15,Skirt,0:32,4,PLA
Rail,Rail,Elite,1,1,Rail,15,Skirt,5:08,62,PLA
Rail,Rail,Lite,1,1.5,Rail,10,Skirt,2:40,32,PLA
Rail,Rail,SciFi,1,2,Rail,,,,,PLA
Rail,Rail,Standard,1,1,,10,Skirt,7:04,94,PLA
Rail,Rail,Standard,2,3,Rail,,,,,PLA
Rail,Rail,Stronghold,1,2,Rail,,,,,PLA
Rail,Rail,Tavern,1,2,Rail,,,,,PLA
Rail,Top,Elite,1,1,Rail,10,Skirt,10:40,68,TPU
Storage,Corner Rail Carrier - Handle,Standard,1,3,,,,,,PLA
Storage,Corner Rail Carrier,Standard,1,3,,,,,,PLA
Storage,Frame Holder Handle,,1,3,,,,,,PLA
Storage,Frame Holder,,1,3,,,,,,PLA
Storage,Leg Carrier,,1,1.5,,15,Skirt,12:05,135,PLA
Storage,Playtile Holder,,1,3,,,,,,PLA
Storage,Rail Holder - Part A,Standard,1,3,,,,,,PLA
Storage,Rail Holder - Part B,Standard,1,3,,,,,,PLA
